cohort_week,platform,campaign_id,campaign_name,cohort_size,D1_revenue_per_user,D7_revenue_per_user,D30_revenue_per_user,D90_revenue_per_user,retention_D1_pct,retention_D7_pct,retention_D30_pct,weekly_spend_vnd,weekly_installs,weekly_cac,cohort_age_days,matured_d90,matured_d30,matured_d7,matured_d1,best_ltv_per_user,best_ltv_window,cohort_maturity,ltv_cac_ratio
2024-06-29,Google Ads,CAMP_002,Search - Install App,254,5600,12500,30000,38500,88,56,35,6600000.0,526.0,12547.53,35,False,True,True,True,30000.0,D30,Mature (D30),2.39
2024-06-29,TikTok,CAMP_003,TikTok Creator Collab,607,2700,5300,10500,12800,74,36,17,8400000.0,1890.0,4444.44,35,False,True,True,True,10500.0,D30,Mature (D30),2.36
2024-06-29,Instagram,CAMP_004,Stories Retargeting,234,4600,9800,23800,30500,86,52,32,4900000.0,528.0,9280.3,35,False,True,True,True,23800.0,D30,Mature (D30),2.56
2024-06-29,Facebook,CAMP_005,Lookalike Converters,338,6900,15200,37500,48500,89,59,39,8900000.0,668.0,13323.35,35,False,True,True,True,37500.0,D30,Mature (D30),2.81
2024-06-29,Google Ads,CAMP_006,YouTube In-stream,267,4200,8600,18500,22500,82,46,24,5900000.0,543.0,10865.56,35,False,True,True,True,18500.0,D30,Mature (D30),1.7
2024-06-29,Facebook,CAMP_007,New Market - Da Nang,222,3100,6400,14000,17000,79,42,22,3900000.0,234.0,16666.67,35,False,True,True,True,14000.0,D30,Mature (D30),0.84
2024-06-29,Instagram,CAMP_009,DM Stories Ad,135,4100,8600,20500,26000,83,47,28,1800000.0,162.0,11111.11,35,False,True,True,True,20500.0,D30,Mature (D30),1.84
2024-06-29,Instagram,CAMP_011,Influencer Partnership,232,5200,11500,27500,35500,84,52,33,5500000.0,618.0,8899.68,35,False,True,True,True,27500.0,D30,Mature (D30),3.09
2024-06-29,TikTok,CAMP_012,Gaming Vertical TikTok,720,3800,7800,16800,21000,80,48,26,6500000.0,1462.0,4445.96,35,False,True,True,True,16800.0,D30,Mature (D30),3.78
2024-06-29,TikTok,CAMP_014,E-Sports Partnership,585,3900,8000,17200,21500,81,49,27,5200000.0,1170.0,4444.44,35,False,True,True,True,17200.0,D30,Mature (D30),3.87
2024-07-06,Facebook,CAMP_001,Summer Sale Awareness,357,3400,7200,16000,19500,82,47,24,11100000.0,720.0,15416.67,28,False,False,True,True,7200.0,D7,Mature (D7),0.47
2024-07-06,Google Ads,CAMP_002,Search - Install App,270,5700,12800,31000,40000,89,57,36,3500000.0,281.0,12455.52,28,False,False,True,True,12800.0,D7,Mature (D7),1.03
2024-07-06,TikTok,CAMP_003,TikTok Creator Collab,585,2900,5800,11800,14500,76,40,20,10800000.0,2430.0,4444.44,28,False,False,True,True,5800.0,D7,Mature (D7),1.3
2024-07-06,Instagram,CAMP_004,Stories Retargeting,247,4700,10000,24000,31000,87,53,33,2600000.0,281.0,9252.67,28,False,False,True,True,10000.0,D7,Mature (D7),1.08
2024-07-06,Facebook,CAMP_005,Lookalike Converters,315,7000,15500,38000,49000,90,60,40,8500000.0,638.0,13322.88,28,False,False,True,True,15500.0,D7,Mature (D7),1.16
2024-07-06,Google Ads,CAMP_006,YouTube In-stream,279,4300,8800,19000,23000,83,47,25,6300000.0,567.0,11111.11,28,False,False,True,True,8800.0,D7,Mature (D7),0.79
2024-07-06,Facebook,CAMP_007,New Market - Da Nang,240,3200,6600,14500,17500,80,43,23,11500000.0,690.0,16666.67,28,False,False,True,True,6600.0,D7,Mature (D7),0.4
2024-07-06,Instagram,CAMP_009,DM Stories Ad,153,4200,8800,21000,26500,84,48,29,3900000.0,351.0,11111.11,28,False,False,True,True,8800.0,D7,Mature (D7),0.79
2024-07-06,Instagram,CAMP_011,Influencer Partnership,247,5400,11800,28500,37000,85,53,34,5900000.0,672.0,8779.76,28,False,False,True,True,11800.0,D7,Mature (D7),1.34
2024-07-06,TikTok,CAMP_012,Gaming Vertical TikTok,675,3900,8000,17200,21500,81,49,27,3000000.0,675.0,4444.44,28,False,False,True,True,8000.0,D7,Mature (D7),1.8
2024-07-06,TikTok,CAMP_014,E-Sports Partnership,607,4000,8200,17600,22000,82,50,28,5600000.0,1258.0,4451.51,28,False,False,True,True,8200.0,D7,Mature (D7),1.84
2024-07-13,Facebook,CAMP_001,Summer Sale Awareness,351,3500,7400,16500,20000,83,48,25,11400000.0,741.0,15384.62,21,False,False,True,True,7400.0,D7,Mature (D7),0.48
2024-07-13,Google Ads,CAMP_002,Search - Install App,237,5800,13000,31500,40500,90,58,37,10200000.0,788.0,12944.16,21,False,False,True,True,13000.0,D7,Mature (D7),1.0
2024-07-13,TikTok,CAMP_003,TikTok Creator Collab,653,3000,6000,12200,15000,77,41,21,8100000.0,1822.0,4445.66,21,False,False,True,True,6000.0,D7,Mature (D7),1.35
2024-07-13,Instagram,CAMP_004,Stories Retargeting,292,4800,10200,24500,31500,88,54,34,5500000.0,595.0,9243.7,21,False,False,True,True,10200.0,D7,Mature (D7),1.1
2024-07-13,Facebook,CAMP_005,Lookalike Converters,323,7100,15800,38500,50000,91,61,41,8900000.0,668.0,13323.35,21,False,False,True,True,15800.0,D7,Mature (D7),1.19
2024-07-13,Google Ads,CAMP_006,YouTube In-stream,303,4400,9000,19500,23500,84,48,26,6700000.0,609.0,11001.64,21,False,False,True,True,9000.0,D7,Mature (D7),0.82
2024-07-13,Facebook,CAMP_007,New Market - Da Nang,228,3300,6800,15000,18000,81,44,24,3900000.0,234.0,16666.67,21,False,False,True,True,6800.0,D7,Mature (D7),0.41
2024-07-13,Instagram,CAMP_009,DM Stories Ad,180,4300,9000,21500,27000,85,49,30,4300000.0,387.0,11111.11,21,False,False,True,True,9000.0,D7,Mature (D7),0.81
2024-07-13,Instagram,CAMP_011,Influencer Partnership,330,5500,12000,29000,38000,86,54,35,3100000.0,341.0,9090.91,21,False,False,True,True,12000.0,D7,Mature (D7),1.32
2024-07-13,TikTok,CAMP_012,Gaming Vertical TikTok,744,4000,8200,17600,22000,82,50,28,6400000.0,1486.0,4306.86,21,False,False,True,True,8200.0,D7,Mature (D7),1.9
2024-07-13,TikTok,CAMP_014,E-Sports Partnership,607,4100,8400,18000,22500,83,51,29,5300000.0,1192.0,4446.31,21,False,False,True,True,8400.0,D7,Mature (D7),1.89
2024-07-20,Facebook,CAMP_001,Summer Sale Awareness,364,3600,7600,17000,20500,84,49,26,11600000.0,752.0,15425.53,14,False,False,True,True,7600.0,D7,Mature (D7),0.49
2024-07-20,Google Ads,CAMP_002,Search - Install App,281,6000,13500,32500,42000,91,59,38,3200000.0,256.0,12500.0,14,False,False,True,True,13500.0,D7,Mature (D7),1.08
2024-07-20,TikTok,CAMP_003,TikTok Creator Collab,562,3100,6200,12500,15500,78,42,22,10800000.0,2430.0,4444.44,14,False,False,True,True,6200.0,D7,Mature (D7),1.4
2024-07-20,Instagram,CAMP_004,Stories Retargeting,281,5000,10500,25000,32000,89,55,35,5900000.0,639.0,9233.18,14,False,False,True,True,10500.0,D7,Mature (D7),1.14
2024-07-20,Facebook,CAMP_005,Lookalike Converters,345,7300,16200,39200,51000,92,62,42,8500000.0,638.0,13322.88,14,False,False,True,True,16200.0,D7,Mature (D7),1.22
2024-07-20,Google Ads,CAMP_006,YouTube In-stream,315,4600,9300,20000,24000,85,49,27,7100000.0,639.0,11111.11,14,False,False,True,True,9300.0,D7,Mature (D7),0.84
2024-07-20,Facebook,CAMP_007,New Market - Da Nang,246,3400,7000,15500,18500,82,45,25,11400000.0,684.0,16666.67,14,False,False,True,True,7000.0,D7,Mature (D7),0.42
2024-07-20,Instagram,CAMP_009,DM Stories Ad,207,4400,9200,22000,27500,86,50,31,2300000.0,207.0,11111.11,14,False,False,True,True,9200.0,D7,Mature (D7),0.83
2024-07-20,Instagram,CAMP_011,Influencer Partnership,352,5700,12300,29500,38500,87,55,36,6500000.0,720.0,9027.78,14,False,False,True,True,12300.0,D7,Mature (D7),1.36
2024-07-20,TikTok,CAMP_012,Gaming Vertical TikTok,720,4100,8400,18000,22500,83,51,29,6300000.0,1464.0,4303.28,14,False,False,True,True,8400.0,D7,Mature (D7),1.95
2024-07-20,TikTok,CAMP_014,E-Sports Partnership,630,4200,8600,18500,23000,84,52,30,2600000.0,585.0,4444.44,14,False,False,True,True,8600.0,D7,Mature (D7),1.94
2024-07-27,Facebook,CAMP_001,Summer Sale Awareness,377,3700,7800,17500,21000,85,50,27,11600000.0,754.0,15384.62,7,False,False,True,True,7800.0,D7,Mature (D7),0.51
2024-07-27,Google Ads,CAMP_002,Search - Install App,288,6200,14000,33500,43000,92,60,39,11100000.0,887.0,12514.09,7,False,False,True,True,14000.0,D7,Mature (D7),1.12
2024-07-27,TikTok,CAMP_003,TikTok Creator Collab,607,3200,6400,13000,16000,79,43,23,7800000.0,1754.0,4446.98,7,False,False,True,True,6400.0,D7,Mature (D7),1.44
2024-07-27,Instagram,CAMP_004,Stories Retargeting,315,5100,10700,25500,32500,90,56,36,3100000.0,335.0,9253.73,7,False,False,True,True,10700.0,D7,Mature (D7),1.16
2024-07-27,Facebook,CAMP_005,Lookalike Converters,338,7400,16500,40000,52000,93,63,43,9300000.0,697.0,13342.9,7,False,False,True,True,16500.0,D7,Mature (D7),1.24
2024-07-27,Google Ads,CAMP_006,YouTube In-stream,333,4700,9500,20500,24500,86,50,28,7500000.0,675.0,11111.11,7,False,False,True,True,9500.0,D7,Mature (D7),0.86
2024-07-27,Facebook,CAMP_007,New Market - Da Nang,222,3500,7200,16000,19000,83,46,26,3800000.0,228.0,16666.67,7,False,False,True,True,7200.0,D7,Mature (D7),0.43
2024-07-27,Instagram,CAMP_009,DM Stories Ad,216,4500,9400,22500,28000,87,51,32,4900000.0,441.0,11111.11,7,False,False,True,True,9400.0,D7,Mature (D7),0.85
2024-07-27,Instagram,CAMP_011,Influencer Partnership,376,5900,12600,30000,39000,88,56,37,6900000.0,760.0,9078.95,7,False,False,True,True,12600.0,D7,Mature (D7),1.39
2024-07-27,TikTok,CAMP_012,Gaming Vertical TikTok,744,4200,8600,18500,23000,84,52,30,6200000.0,1443.0,4296.6,7,False,False,True,True,8600.0,D7,Mature (D7),2.0
2024-07-27,TikTok,CAMP_014,E-Sports Partnership,651,4300,8800,19000,23500,85,53,31,5600000.0,1258.0,4451.51,7,False,False,True,True,8800.0,D7,Mature (D7),1.98
2024-08-03,Facebook,CAMP_001,Summer Sale Awareness,390,3800,8000,18000,21500,86,51,28,,,,0,False,False,False,False,,None,Immature,
2024-08-03,Google Ads,CAMP_002,Search - Install App,304,6400,14500,34500,44000,93,61,40,,,,0,False,False,False,False,,None,Immature,
2024-08-03,TikTok,CAMP_003,TikTok Creator Collab,585,3300,6600,13500,16500,80,44,24,,,,0,False,False,False,False,,None,Immature,
2024-08-03,Instagram,CAMP_004,Stories Retargeting,324,5200,11000,26000,33000,91,57,37,,,,0,False,False,False,False,,None,Immature,
2024-08-03,Facebook,CAMP_005,Lookalike Converters,352,7500,17000,41000,53000,94,64,44,,,,0,False,False,False,False,,None,Immature,
2024-08-03,Google Ads,CAMP_006,YouTube In-stream,342,4900,9800,21000,25000,87,51,29,,,,0,False,False,False,False,,None,Immature,
2024-08-03,Facebook,CAMP_007,New Market - Da Nang,246,3600,7400,16500,19500,84,47,27,,,,0,False,False,False,False,,None,Immature,
2024-08-03,Instagram,CAMP_009,DM Stories Ad,225,4600,9600,23000,28500,88,52,33,,,,0,False,False,False,False,,None,Immature,
2024-08-03,Instagram,CAMP_011,Influencer Partnership,384,6100,13000,31000,40000,89,57,38,,,,0,False,False,False,False,,None,Immature,
2024-08-03,TikTok,CAMP_012,Gaming Vertical TikTok,768,4300,8800,19000,23500,85,53,31,,,,0,False,False,False,False,,None,Immature,
2024-08-03,TikTok,CAMP_014,E-Sports Partnership,651,4400,9000,19500,24000,86,54,32,,,,0,False,False,False,False,,None,Immature,
